invoice_no,total_keys,matched_keys,accuracy,precision,recall,f1_score
0,28,16,57.1429,0.5714,0.5714,0.5714
1,22,13,59.0909,0.5909,0.5909,0.5909
2,25,14,56.0,0.5417,0.52,0.5306
3,28,21,75.0,0.75,0.75,0.75
4,16,11,68.75,0.6875,0.6875,0.6875
5,22,12,54.5455,0.5455,0.5455,0.5455
6,19,11,57.8947,0.5789,0.5789,0.5789
7,22,13,59.0909,0.5714,0.5455,0.5581
8,22,13,59.0909,0.5714,0.5455,0.5581
9,25,14,56.0,0.5417,0.52,0.5306
10,25,14,56.0,0.56,0.56,0.56
11,19,11,57.8947,0.5789,0.5789,0.5789
12,16,8,50.0,0.5,0.5,0.5
13,25,21,84.0,0.84,0.84,0.84
14,19,11,57.8947,0.5789,0.5789,0.5789
15,25,22,88.0,0.88,0.88,0.88
16,28,18,64.2857,0.6429,0.6429,0.6429
17,25,15,60.0,0.5833,0.56,0.5714
18,16,9,56.25,0.5625,0.5625,0.5625
19,19,10,52.6316,0.5,0.4737,0.4865
20,19,17,89.4737,0.8947,0.8947,0.8947
21,19,8,42.1053,0.4211,0.4211,0.4211
22,19,14,73.6842,0.7368,0.7368,0.7368
23,28,17,60.7143,0.5926,0.5714,0.5818
24,19,8,42.1053,0.4211,0.4211,0.4211
25,28,16,57.1429,0.5714,0.5714,0.5714
26,28,18,64.2857,0.6296,0.6071,0.6182
27,22,12,54.5455,0.5455,0.5455,0.5455
28,22,13,59.0909,0.5909,0.5909,0.5909
29,28,17,60.7143,0.5926,0.5714,0.5818
30,16,8,50.0,0.5,0.5,0.5
31,19,11,57.8947,0.5556,0.5263,0.5405
32,16,10,62.5,0.625,0.625,0.625
33,22,12,54.5455,0.5238,0.5,0.5116
34,19,11,57.8947,0.5556,0.5263,0.5405
35,16,8,50.0,0.5,0.5,0.5
36,22,13,59.0909,0.5909,0.5909,0.5909
37,25,14,56.0,0.56,0.56,0.56
38,28,16,57.1429,0.5714,0.5714,0.5714
39,19,8,42.1053,0.4211,0.4211,0.4211
40,22,12,54.5455,0.5455,0.5455,0.5455
41,28,18,64.2857,0.6429,0.6429,0.6429
42,22,12,54.5455,0.5238,0.5,0.5116
43,22,18,81.8182,0.8095,0.7727,0.7907
44,16,7,43.75,0.4375,0.4375,0.4375
45,28,15,53.5714,0.5357,0.5357,0.5357
46,16,9,56.25,0.5625,0.5625,0.5625
47,16,9,56.25,0.5333,0.5,0.5161
48,19,10,52.6316,0.5,0.4737,0.4865
49,25,14,56.0,0.56,0.56,0.56
50,22,18,81.8182,0.8182,0.8182,0.8182
51,16,8,50.0,0.5,0.5,0.5
52,16,8,50.0,0.5,0.5,0.5
53,25,13,52.0,0.52,0.52,0.52
54,22,12,54.5455,0.5455,0.5455,0.5455
55,22,11,50.0,0.5,0.5,0.5
56,28,17,60.7143,0.5926,0.5714,0.5818
57,28,16,57.1429,0.5714,0.5714,0.5714
58,25,13,52.0,0.5,0.48,0.4898
59,28,24,85.7143,0.8519,0.8214,0.8364
60,25,14,56.0,0.56,0.56,0.56
61,22,18,81.8182,0.8095,0.7727,0.7907
62,16,9,56.25,0.5625,0.5625,0.5625
63,25,15,60.0,0.6,0.6,0.6
64,19,10,52.6316,0.5263,0.5263,0.5263
65,28,17,60.7143,0.6071,0.6071,0.6071
66,19,9,47.3684,0.4737,0.4737,0.4737
67,25,15,60.0,0.6,0.6,0.6
68,19,10,52.6316,0.5263,0.5263,0.5263
69,25,15,60.0,0.6,0.6,0.6
70,19,9,47.3684,0.4737,0.4737,0.4737
71,19,13,68.4211,0.6842,0.6842,0.6842
72,22,21,95.4545,0.9545,0.9545,0.9545
73,28,16,57.1429,0.5714,0.5714,0.5714
74,22,14,63.6364,0.6364,0.6364,0.6364
75,16,12,75.0,0.7333,0.6875,0.7097
76,28,15,53.5714,0.5357,0.5357,0.5357
77,28,24,85.7143,0.8571,0.8571,0.8571
78,22,11,50.0,0.5,0.5,0.5
79,16,10,62.5,0.625,0.625,0.625
80,19,10,52.6316,0.5263,0.5263,0.5263
81,25,14,56.0,0.56,0.56,0.56
82,19,10,52.6316,0.5263,0.5263,0.5263
83,16,9,56.25,0.5625,0.5625,0.5625
84,28,15,53.5714,0.5357,0.5357,0.5357
85,22,18,81.8182,0.8182,0.8182,0.8182
86,22,13,59.0909,0.5909,0.5909,0.5909
87,22,12,54.5455,0.5455,0.5455,0.5455
88,19,10,52.6316,0.5263,0.5263,0.5263
89,22,10,45.4545,0.4545,0.4545,0.4545
90,16,7,43.75,0.4,0.375,0.3871
91,22,13,59.0909,0.5714,0.5455,0.5581
92,22,12,54.5455,0.5455,0.5455,0.5455
93,16,9,56.25,0.5625,0.5625,0.5625
94,22,17,77.2727,0.7727,0.7727,0.7727
95,22,13,59.0909,0.5909,0.5909,0.5909
96,25,14,56.0,0.56,0.56,0.56
97,25,15,60.0,0.5833,0.56,0.5714
98,25,14,56.0,0.56,0.56,0.56
99,28,23,82.1429,0.8214,0.8214,0.8214
